Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POCcollection,Chrome 108.0.0.0,,,2022-12-21 20:12:31,2022-12-21 20:15:45,3m - 13.729s,FAILED
,,,,,,,
Test Cases/login,Chrome 108.0.0.0,POC task,,2022-12-21 20:12:32,2022-12-21 20:12:50,18.442s,PASSED
openBrowser(URL),Chrome 108.0.0.0,,,2022-12-21 20:12:32,2022-12-21 20:12:40,7.983s,PASSED
delay(4),Chrome 108.0.0.0,,,2022-12-21 20:12:40,2022-12-21 20:12:44,4.052s,PASSED
"click(findTestObject(""Object Repository/appointment""))",Chrome 108.0.0.0,,,2022-12-21 20:12:44,2022-12-21 20:12:45,0.950s,PASSED
delay(4),Chrome 108.0.0.0,,,2022-12-21 20:12:45,2022-12-21 20:12:49,4.015s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-21 20:12:49,2022-12-21 20:12:50,0.844s,PASSED
,,,,,,,
Test Cases/loginp,Chrome 108.0.0.0,,,2022-12-21 20:15:40,2022-12-21 20:15:45,4.598s,FAILED
openBrowser(urls),Chrome 108.0.0.0,,,2022-12-21 20:15:40,2022-12-21 20:15:45,4.585s,FAILED
