Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POCcollection,Chrome 122.0.0.0,,,2024-03-18 15:38:19,2024-03-18 15:39:04,44.367s,PASSED
,,,,,,,
Test Cases/login,Chrome 122.0.0.0,POC task,,2024-03-18 15:38:20,2024-03-18 15:38:38,18.327s,PASSED
openBrowser(URL),Chrome 122.0.0.0,,,2024-03-18 15:38:20,2024-03-18 15:38:28,7.793s,PASSED
delay(4),Chrome 122.0.0.0,,,2024-03-18 15:38:28,2024-03-18 15:38:32,4.048s,PASSED
"click(findTestObject(""Object Repository/appointment""))",Chrome 122.0.0.0,,,2024-03-18 15:38:32,2024-03-18 15:38:33,0.861s,PASSED
delay(4),Chrome 122.0.0.0,,,2024-03-18 15:38:33,2024-03-18 15:38:37,4.005s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,2024-03-18 15:38:37,2024-03-18 15:38:38,0.999s,PASSED
,,,,,,,
Test Cases/loginp,Chrome 122.0.0.0,,,2024-03-18 15:38:38,2024-03-18 15:38:53,15.321s,PASSED
openBrowser(urls),Chrome 122.0.0.0,,,2024-03-18 15:38:39,2024-03-18 15:38:43,4.706s,PASSED
delay(4),Chrome 122.0.0.0,,,2024-03-18 15:38:43,2024-03-18 15:38:47,4.007s,PASSED
"click(findTestObject(""Object Repository/continue_button""))",Chrome 122.0.0.0,,,2024-03-18 15:38:47,2024-03-18 15:38:48,0.695s,PASSED
delay(4),Chrome 122.0.0.0,,,2024-03-18 15:38:48,2024-03-18 15:38:52,4.007s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,2024-03-18 15:38:52,2024-03-18 15:38:53,1.439s,PASSED
,,,,,,,
Test Cases/trial,Chrome 122.0.0.0,,,2024-03-18 15:38:53,2024-03-18 15:39:04,10.220s,PASSED
"URL = ""https://www.google.com/""",Chrome 122.0.0.0,,,2024-03-18 15:38:54,2024-03-18 15:38:54,0.001s,PASSED
openBrowser(URL),Chrome 122.0.0.0,,,2024-03-18 15:38:54,2024-03-18 15:38:59,4.936s,PASSED
delay(4),Chrome 122.0.0.0,,,2024-03-18 15:38:59,2024-03-18 15:39:03,4.006s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,2024-03-18 15:39:03,2024-03-18 15:39:04,0.842s,PASSED
