Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POCcollection,Firefox 115.0,,,2024-02-28 11:46:46,2024-02-28 11:47:39,53.046s,PASSED
,,,,,,,
Test Cases/login,Firefox 115.0,POC task,,2024-02-28 11:46:46,2024-02-28 11:47:06,19.881s,PASSED
openBrowser(URL),Firefox 115.0,,,2024-02-28 11:46:46,2024-02-28 11:46:56,9.249s,PASSED
delay(4),Firefox 115.0,,,2024-02-28 11:46:56,2024-02-28 11:47:00,4.064s,PASSED
"click(findTestObject(""Object Repository/appointment""))",Firefox 115.0,,,2024-02-28 11:47:00,2024-02-28 11:47:01,0.884s,PASSED
delay(4),Firefox 115.0,,,2024-02-28 11:47:01,2024-02-28 11:47:05,4.006s,PASSED
closeBrowser(),Firefox 115.0,,,2024-02-28 11:47:05,2024-02-28 11:47:06,1.157s,PASSED
,,,,,,,
Test Cases/loginp,Firefox 115.0,,,2024-02-28 11:47:06,2024-02-28 11:47:26,20.101s,PASSED
openBrowser(urls),Firefox 115.0,,,2024-02-28 11:47:06,2024-02-28 11:47:12,6.217s,PASSED
delay(4),Firefox 115.0,,,2024-02-28 11:47:12,2024-02-28 11:47:16,4.005s,PASSED
"click(findTestObject(""Object Repository/continue_button""))",Firefox 115.0,,,2024-02-28 11:47:16,2024-02-28 11:47:20,4.082s,PASSED
delay(4),Firefox 115.0,,,2024-02-28 11:47:20,2024-02-28 11:47:24,4.011s,PASSED
closeBrowser(),Firefox 115.0,,,2024-02-28 11:47:24,2024-02-28 11:47:26,1.391s,PASSED
,,,,,,,
Test Cases/trial,Firefox 115.0,,,2024-02-28 11:47:26,2024-02-28 11:47:39,12.675s,PASSED
"URL = ""https://www.google.com/""",Firefox 115.0,,,2024-02-28 11:47:26,2024-02-28 11:47:26,0.001s,PASSED
openBrowser(URL),Firefox 115.0,,,2024-02-28 11:47:26,2024-02-28 11:47:33,6.987s,PASSED
delay(4),Firefox 115.0,,,2024-02-28 11:47:33,2024-02-28 11:47:37,4.020s,PASSED
closeBrowser(),Firefox 115.0,,,2024-02-28 11:47:37,2024-02-28 11:47:39,1.242s,PASSED
