Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POCcollection,,,,2024-02-26 11:24:57,2024-02-26 11:25:28,30.808s,FAILED
,,,,,,,
Test Cases/login,,POC task,,2024-02-26 11:25:07,2024-02-26 11:25:09,2.022s,FAILED
openBrowser(URL),,,,2024-02-26 11:25:07,2024-02-26 11:25:09,2.010s,FAILED
,,,,,,,
Test Cases/loginp,,,,2024-02-26 11:25:16,2024-02-26 11:25:18,2.113s,FAILED
openBrowser(urls),,,,2024-02-26 11:25:16,2024-02-26 11:25:18,2.098s,FAILED
,,,,,,,
Test Cases/trial,,,,2024-02-26 11:25:26,2024-02-26 11:25:28,2.102s,FAILED
"URL = ""https://www.google.com/""",,,,2024-02-26 11:25:26,2024-02-26 11:25:26,0.002s,PASSED
openBrowser(URL),,,,2024-02-26 11:25:26,2024-02-26 11:25:28,2.085s,FAILED
