Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POCcollection,Firefox 115.0,,,2024-02-27 11:49:43,2024-02-27 11:50:35,51.549s,PASSED
,,,,,,,
Test Cases/login,Firefox 115.0,POC task,,2024-02-27 11:49:43,2024-02-27 11:50:03,19.100s,PASSED
openBrowser(URL),Firefox 115.0,,,2024-02-27 11:49:44,2024-02-27 11:49:52,8.438s,PASSED
delay(4),Firefox 115.0,,,2024-02-27 11:49:52,2024-02-27 11:49:56,4.055s,PASSED
"click(findTestObject(""Object Repository/appointment""))",Firefox 115.0,,,2024-02-27 11:49:56,2024-02-27 11:49:57,0.935s,PASSED
delay(4),Firefox 115.0,,,2024-02-27 11:49:57,2024-02-27 11:50:01,4.002s,PASSED
closeBrowser(),Firefox 115.0,,,2024-02-27 11:50:01,2024-02-27 11:50:03,1.142s,PASSED
,,,,,,,
Test Cases/loginp,Firefox 115.0,,,2024-02-27 11:50:03,2024-02-27 11:50:22,19.523s,PASSED
openBrowser(urls),Firefox 115.0,,,2024-02-27 11:50:03,2024-02-27 11:50:09,6.078s,PASSED
delay(4),Firefox 115.0,,,2024-02-27 11:50:09,2024-02-27 11:50:13,4.004s,PASSED
"click(findTestObject(""Object Repository/continue_button""))",Firefox 115.0,,,2024-02-27 11:50:13,2024-02-27 11:50:17,3.887s,PASSED
delay(4),Firefox 115.0,,,2024-02-27 11:50:17,2024-02-27 11:50:21,4.002s,PASSED
closeBrowser(),Firefox 115.0,,,2024-02-27 11:50:21,2024-02-27 11:50:22,1.154s,PASSED
,,,,,,,
Test Cases/trial,Firefox 115.0,,,2024-02-27 11:50:22,2024-02-27 11:50:35,12.572s,PASSED
"URL = ""https://www.google.com/""",Firefox 115.0,,,2024-02-27 11:50:22,2024-02-27 11:50:22,0.001s,PASSED
openBrowser(URL),Firefox 115.0,,,2024-02-27 11:50:22,2024-02-27 11:50:29,6.875s,PASSED
delay(4),Firefox 115.0,,,2024-02-27 11:50:29,2024-02-27 11:50:33,4.017s,PASSED
closeBrowser(),Firefox 115.0,,,2024-02-27 11:50:33,2024-02-27 11:50:35,1.280s,PASSED
