Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POCcollection,Firefox 115.0,,,2024-02-26 11:47:42,2024-02-26 11:48:31,49.236s,PASSED
,,,,,,,
Test Cases/login,Firefox 115.0,POC task,,2024-02-26 11:47:42,2024-02-26 11:48:03,20.521s,PASSED
openBrowser(URL),Firefox 115.0,,,2024-02-26 11:47:43,2024-02-26 11:47:53,9.978s,PASSED
delay(4),Firefox 115.0,,,2024-02-26 11:47:53,2024-02-26 11:47:57,4.048s,PASSED
"click(findTestObject(""Object Repository/appointment""))",Firefox 115.0,,,2024-02-26 11:47:57,2024-02-26 11:47:58,0.799s,PASSED
delay(4),Firefox 115.0,,,2024-02-26 11:47:58,2024-02-26 11:48:02,4.004s,PASSED
closeBrowser(),Firefox 115.0,,,2024-02-26 11:48:02,2024-02-26 11:48:03,1.166s,PASSED
,,,,,,,
Test Cases/loginp,Firefox 115.0,,,2024-02-26 11:48:03,2024-02-26 11:48:19,16.341s,PASSED
openBrowser(urls),Firefox 115.0,,,2024-02-26 11:48:03,2024-02-26 11:48:09,5.556s,PASSED
delay(4),Firefox 115.0,,,2024-02-26 11:48:09,2024-02-26 11:48:13,4.004s,PASSED
"click(findTestObject(""Object Repository/continue_button""))",Firefox 115.0,,,2024-02-26 11:48:13,2024-02-26 11:48:14,0.966s,PASSED
delay(4),Firefox 115.0,,,2024-02-26 11:48:14,2024-02-26 11:48:18,4.003s,PASSED
closeBrowser(),Firefox 115.0,,,2024-02-26 11:48:18,2024-02-26 11:48:19,1.428s,PASSED
,,,,,,,
Test Cases/trial,Firefox 115.0,,,2024-02-26 11:48:19,2024-02-26 11:48:31,11.956s,PASSED
"URL = ""https://www.google.com/""",Firefox 115.0,,,2024-02-26 11:48:20,2024-02-26 11:48:20,0.001s,PASSED
openBrowser(URL),Firefox 115.0,,,2024-02-26 11:48:20,2024-02-26 11:48:26,6.337s,PASSED
delay(4),Firefox 115.0,,,2024-02-26 11:48:26,2024-02-26 11:48:30,4.005s,PASSED
closeBrowser(),Firefox 115.0,,,2024-02-26 11:48:30,2024-02-26 11:48:31,1.194s,PASSED
